5	3.5	3.6	3	0.9	1	3	1.5	1	6.5	2.5
4	7.5	2.7	1	0.9	9	7	0	3	7	2.35
5	5.5	3.4	0	0.8	8	18	1.5	3.4	7	2.84
5	4.5	3.2	7	0.85	6	0	1	1	7.5	2.6
3	3.5	3.9	6	1	7	0	6	4.5	9	3.76
3	7.5	2.8	8	0.9	10	19	3	4	7.5	2.85
4	3.5	3	9	1	9	0	5	3	5.5	3.02
4	6.5	3.3	1	0.9	8	7	2	3.5	6	3.46
4	6	3.2	10	0.85	6	1	1.5	3	7	2.86
4	3	3.2	10	0.8	7	2	3	4	6	3.11
4	4	3.3	9	0.85	0	1	1	5	7	3.25
3	5	3.8	9	0.85	5	15	8	4.5	6.5	3.88
4	5	2.9	8	0.9	4	18	3	3	6	2.76
4	2	2.9	2	0.7	6	4	5	5	6	2.74
4	3	3.8	6	0.9	7	3	8	4	7	2.93
4	8	3.3	7	0.85	8	6	4	4	6	3.3
4	5	2.6	8	0.85	9	12	3	2	6	2.33
5	5.5	3	4	0.9	10	15	3.5	4	7	2.3
4	3.5	2.5	10	0.95	1	2	3	3	4	2.3
4	8	2.4	2	0.85	9	3	1	3.5	5.5	2.8
4	2.5	3	8	0.95	8	1	3	3.5	6.5	2.55
3	2	3.1	1	0.9	6	0	3.5	3	8.5	3.17
4	7.5	2.8	0	0.75	7	17	2	2.5	5.5	2.83
4	4	2.7	0	0.95	5	0	1	3.5	6.5	2.68
5	3.5	2.9	3	1	8	16	8	3	8	3.1
4	4.5	3.6	6	0.95	10	0	3	3.5	5	3.63
4	4	3.6	5	0.85	9	6	4	4	5	2.94
4	5	3	5	0.8	8	0	2	1	4.5	2.97
3	0	2.5	3	0.9	7	1	1	3	5.5	2.59
4	5.5	2.8	8	0.9	9	0	3.5	3.5	6	2.75
3	4	3.3	7	0.95	8	0	4	4	7	4.29
3	2	3.4	1	0.95	7	20	4	4.5	7	2.4
4	6	2.8	2	0.85	10	2	2	1	7.5	2.62
4	6.5	3.4	6	0.8	8	3	7	2.5	6.5	3.48
4	4.5	3.5	1	0.8	6	1	3	3	6	3.62
5	4	3.5	8	0.9	7	15	1	1	6	3.4
4	4	2.9	7	0.9	8	0	2	3.5	6.5	2.7
4	4	2.8	4	0.7	9	0	2	2.5	5.5	3.08
5	5	3	9	0.95	7	6	1.5	4.5	5	3.21
4	8	3.1	9	1	6	1	5	2.5	5.5	3.54
3	3	2.4	3	0.75	10	0	1.5	4	6.5	2.29
4	2	3.3	10	0.85	9	6	2	4	9	3.22
3	5	3.2	9	0.8	8	10	6	3	7	3.71
4	2	2.2	9	0.8	7	18	3	3	7.5	2.5
4	3	2.6	1	0.8	9	1	2	1	5.5	2.89
4	7	2.5	2	0.75	9	20	4	3	5	2.97
4	3	3	3	0.95	8	1	4.5	5	6	2.7
4	3	3.2	8	0.9	7	2	1.2	3	5	3.26
4	2	2.9	7	0.9	6	19	8	3	8	2.9
4	7.5	3.3	0	0.9	8	5	1.5	3	5	3.21
4	6	2.5	8	0.8	9	10	2	3.5	6	2.4
4	1	2.6	6	0.8	8	1	4.5	2.5	5	2.7
3	1.5	2.6	1	0.8	7	0	8	3.5	4.5	3
4	0	2.2	9	1	9	0	1	3	6	2.31
4	1.5	2.6	0	0.85	9	5	8	2.5	5	2.3
4	3.5	2.6	10	0.95	8	1	1	4	7	2.27
3	1.5	3.1	9	0.8	7	1	5	4.5	6	3.2
4	4	3.8	8	1	6	2	7	1	7	3.7
3	4.5	3.9	3	0.95	8	2	6	4	9	3.89
4	5.5	2.2	2	0.75	6	0	3	1	6	2.4
4	6	3	1	0.8	7	0	2	5	7	2.7
4	6	3.7	8	0.85	8	0	5	3	7	3.43
4	4	2.9	0	0.75	9	1	1	2	7.5	2.7
5	3	2.6	4	0.9	10	12	7	4.5	4.5	2.75
3	5	2.3	7	0.95	6	1	7	4	3	2.47
3	5.5	2.8	9	1	7	6	3	5	10	2.8
3	5.5	2.9	5	0.95	8	4	4	4	7	2.96
4	1.5	3.2	1	0.9	9	7	4	3	7.5	3.19
5	1.5	2.8	2	0.85	10	1	4	2.5	6.5	2.87
4	3	2.8	3	0.7	6	0	5	5	5.5	2.75
4	4	2.7	4	0.8	7	2	3	4	6	2.75
4	4	2.7	5	0.75	8	3	3	5	5	2.75
5	1.5	2.8	0	0.8	0	1	1	2	7	3.24
4	3.5	2.8	5	0.85	10	0	3.5	3	5	3.11
4	3.5	3.5	9	0.75	8	0	1	1.5	7	3.18
3	3.5	2	8	0.9	6	1	4.5	5	6	2.1
4	3	3	7	0.7	7	7	4.5	1.5	6	3.2
4	4	3.4	1	0.7	9	12	6	4.5	9	3.22
4	4	3.3	2	0.8	8	14	7	5	9	3.22
3	3	2.8	8	0.95	8	0	1	3	7	2.5
3	7	3.5	2	1	9	7	2	1.5	7	3.58
3	3.5	3	2	0.95	7	0	2	3.5	6	2.7
3	8	2.8	2	0.9	6	7	2	4	5	2.98
4	5	2.8	7	0.75	8	4	3	3	5.5	3.27
4	1	3.6	9	0.85	6	3	1	4	5	3.7
4	3	3	8	0.8	9	5	3	5	7.5	2.9
4	4	3.3	2	0.9	8	1	7	4	7	3.4
3	3.5	2.8	10	0.95	7	4	7	2.5	6.5	2.88
3	4	2.5	9	0.9	0	0	5	4	5	2.46
5	2	3.6	8	0.7	7	1	2	2.55	5	3.7
4	6.5	2.5	8	0.75	2	20	7	2.5	6.5	2.5
3	1.5	2.5	1	0.85	8	0	1	4	9	2.7
3	4.5	2.4	1	0.9	0	7	4	3	7	2.33
5	4.5	2	7	0.9	1	0	1	3.5	5.5	3.04
4	2	2.9	1	0.9	8	3	4	0.5	7.5	3
3	4	2.2	8	0.8	1	0	8	5	3	2.44
3	7	2.8	1	0.8	7	0	8	4	7	2.83
4	3	2.8	9	0.8	6	7	3	4.5	6	3.14
3	3	3.7	8	0.85	8	9	4	4	6.5	3.51
4	3	3.8	9	0.85	9	8	1.5	3	5	3.8
3	5	2.9	7	0.8	9	0	1	3.5	5	3.35
3	6	2.9	7	0.8	8	20	2	2.5	7	2.6
2	6.5	2	2	0.8	10	6	6	3	5	2.06
4	6.5	2	7	0.6	8	4	3.5	3.5	5	2.64
4	1.5	3.2	2	0.85	3	0	3	2.5	5	3.1
4	3.5	3	3	0.85	5	0	3	4	4	3.11
4	5	2.8	7	0.75	5	1	1	3	6	2.95
3	5	3	6	0.9	1	1	7.5	4.5	6	3.04
3	0	3.1	1	0.8	7	10	1	3	8	3.03
3	3	3.9	6	0.8	6	0	7.5	4	7	4
3	2	1.6	3	0.8	0	7	4.5	3.5	9	2.15
3	1	3.1	7	0.9	7	12	3	2.5	7	3.04
3	3	3.2	1	0.85	8	7	1	4	9	2.78
3	2	1.5	8	0.85	9	0	4	1	6	1.78
4	1.5	3.7	2	0.9	2	9	3	4	6	3.68
3	3.5	2	1	0.9	2	4	2	5	7	2.6
4	6.5	3.6	2	1	1	8	3	4	7	3.84
3	4.5	2.8	8	0.75	8	18	1	5	4	0
3	6	3.4	2	0.8	9	4	2	4.5	6	3.3
2	2	3.7	2	0.85	7	0	1	3.5	7	3.5
4	1	3.5	1	0.9	9	7	2	3	9	3
4	5	3.4	9	0.7	8	10	4	4	5.5	2.56
4	1.5	2.5	8	0.95	6	3	5	4.5	7.5	2.37
5	1.5	3	7	1	9	0	1	5	5	3.38
